입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
쿠팡이츠로 간편주문 가능합니다 맛집들이 너무많아서 선택장애 올수도있어요,맛,기타,긍정,99.6%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
하... 말해 뭐해. 이 맛 실화입니까? 별 다섯 개도 모자라요.,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
사장님 뭐 남으시나요? 사장님 손맛 무엇... 최고예요 진짜.,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
어플 들어갈때마다 하단에 15분동안 할인 머시기 자꾸뜨는데 안뜨게좀 해줘요 너무 거슬리고 불편하네요 유튜브 보는데 광고뜨는기분 이랄까 좀 그럼,일반,기타,애매,96.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"니들 경쟁사인 ㅂㅁ 주문하고 쓴다. 아무리 할인 이벤트 하면 뭐해? 영업 준비중이라고 안하는데? 주말이고, 배달 가능한 대리점 3곳이고, 다 영업시간 시작했는데 전부 영업준비중? 할인 이벤트 하려면 강제로 주문받게 하고, 안 받으면 니들이 위약금 청구하게 해서 문 열어라.","맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
잘사용하는중임. 가끔 별점에비해 맛없는곳도 있지만 대체로 ㄱㅊ음.ㅇ,맛,기타,부정,99.8%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
어플 오류가 많아요. 그리고 너무 비윤리적이네요,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
같은 음식점에서 주문하면 계속 배달 취소하길레 고객센터 문의했더니 매장 편드는식으로 답변하고 매장에서 바쁘다니 어쩔수없어 미안~ 이따위 답변듣자고 문의한줄 아십니까? 10개 20개 대량 주문한것도 아니고 알아보겠다는 성의도 없고 참 진짜 응대하는 꼬라지 보니 여기서 수수료 줘가면서 쓰고싶지않아지네요. 손뗍니다.,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
유용하게 잘 쓰고 있어요,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
업데이트 너무 자주는 ㅠ,일반,기타,애매,83.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
시간만 보고 기다리는게 아니라 주문하고 어디쯤 오는지 눈으로 볼수있어서 좋아요. 상황보고 준비할수있고(먹을준비) 다른 배달앱보다 편해요.,"맛, 배달",기타,부정,99.7%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
다른 앱 쓰는데 배민을 다운 안 받은 것도 아니고 뭔 놈의 광고가 그리고 애매하게 17초 28초 이런 식으로 꼼수 써서 30초 넘기지도 말고 30초짜리 진짜 노잼이니까 다 5초짜리로만 만들어라 그 뒤에 5초 또 뜨게 10초 얌생이처럼 만들지 말고,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
"가맹점이 배달 불가 지역이라는 이유로 주문을 진작에 취소했다는데 제대로 접수가 안되는 바람에 1시간 30분을 기다렸음. 배달 예상 시간까지 받았고 계속 기다렸는데 하도 안와서 가맹점에 전화하니 요기요 시스템 오류로 취소로 안넘어갔다고 하던데, 통화 끊은 직후 즉시 취소처리 환불을 해주네요?ㅋ 1시간 30분 남의 시간 잡아먹고 고객 센터 연결도 어렵고 그지같은","맛, 배달",기타,부정,99.5%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"앱사용이 편하고, 가입된 곳들의 소비자 응대매너가 좋은 것 같아요.",일반,기타,애매,99.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
고객센터 연락이 거의 불가능합니다. 평일 낮에도 30-40분 기다려야 카톡 하나옵니다. 전화통화도 안되고 상담톡도 지금 2시간째 연락이 안됩니다. 주문 누락으로 인한 문제를 대체 누구와 이야기해야하나요.,"맛, 배달",기타,부정,99.5%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
배달 문제 발생시 대처가 아주 구립니다. 빼먹고 배달한게 있어서 부분환불 해준다더니 현금은 매장 사정상 어려워서 쿠폰으로 준다길래 캐시 같이 쓰기 편한건줄 알았더니 아니네요. 단일 사용 쿠폰으로 지급했더군요. 전화로 물었더니 캐시로 환불하는 것도 되는데 전산상 처리가 어쩌고 하면서 말을 늘리는데 할 수 있는데 안한거더군요. 단일 사용 쿠폰으로 주면 뭐 어케 하라는건지. 다른 분들은 그냥 매장 신경쓰지 마시고 걍 빠진 물품 다시 보내라고 하세요. 저는 이 앱 안 쓸랍니다.,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
다양한 음식을 쉽게 찾고 주문할수있어 좋아요. 단. 할인해택이나 쿠폰해택이 적은 듯~,"맛, 가격/양",기타,긍정,99.8%,"맛, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
좋아요 가끔 너무 멀어서 음식취소가 되고ㅋ근데 쿠폰 많이주심 좋겠어요 혜택이나ㅋ잘쓰고있어요ㅋ,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달 최강의 앱입니다. 간편하게 시켜먹고 싶을 때 터치만으로 주문 가능하니깐 정말 편리하고 할인 행사나 쿠폰 등 여부를 한 눈에 확인 가능해서 정말 좋습니다. 코로나 때문도 그렇고 나가서 먹기 싫을 때 사용하면 좋은 앱입니다. 감사합니다.^,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
"""눈가리고 아웅, 고객을 기만한다는 느낌"" 요기패스가 나오기 전 10회 3000원 할인 받으면서 잘 이용하고있었는데 이제는 전처럼 3만원 할인 받으려면 5천원 2번 + 2천원 10번해서 총 12번을 주문해야합니다. 주문량 늘리려는 꼼수가 눈에 보여서 불쾌해요. 또 요기패스로 강제변경된 후 할인율 더 안좋아졌어요. 기존에는 포장주문에도 3천원 할인을 적용시킬 수 있었는데 이제 포장은 무조건 1천원 할인이고, 이전에는 기본할인 자체로 5천원 할인이라 쿠폰도 따로 적용가능했는데 이제는 3천원 기본할인에 2천원은 쿠폰으로 적용시키는거라 쿠폰도 어찌보면 막는셈이 됐어요. 잘 이용하다가 강제로 변경시켜 혜택을 줄여버리니까 더이상 이용하고싶지않아져서 해지했습니다. 배민보다 할인율 좋아서 넘어왔는데 점점 할인폭을 줄이는걸보니 정떨어져요. 점점 좋은 서비스를 제공하진못할 망정 점점 서비스가 퇴화되네요. 고객을 바보로 아는건가싶습니다.",배달,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
오기요 정확히 배달 음식을 많이 보고 싶어서 난 맛집 추천 좀 많이 해주세요 ㅎ 수고많으셨어요,"맛, 배달",기타,긍정,99.1%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
"쿠폰으로 유인해서 설치하게 한 다음, 로그인하려면 쿠팡아이디 넣게하고 강제로 쿠팡앱 설치시킴 아주 쓰래기같은 기획에다가 쿠팡아이디 기억도 안나서 비번찾기 하다가 그냥 앱 삭제함. UI UX 아주 엉망",일반,기타,애매,99.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
맛없는 가게 다시 시키기 싫은데 카톡차단처럼 맛없는가게 차단좀 만들어줘요ㅡ시키고 보니까 예전에 맛없는 가게네ㅡ 내가 언제 그거 맨날 기억하면서 여긴 맛없었지 합니까 소비자는 다신 그 가게 안봐서 좋고 가게는 별점 낮게 안받아서 좋고 힘든시국에 맛없는가게 별점 낮게 주기도 눈치보임 맛없어서 반도 못먹었는데.리뷰 썻다가 다시 지웠어요.,맛,기타,부정,98.2%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
점점 가능한 곳이 많아져 아주좋아요 다만 문닫을때가 다되었다거나 거리가 먼경우 주문받고도 맘대로 취소하는 곳이 있거나 전화가 와서 임의로 배달료를 더 요구하는 경우가 있어요,배달,기타,긍정,99.6%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
왜인지는 모르겠으나 최근들어 한집배달이 굉장히 늦어지네요 차라리 조리완료 기능을 만들지 말지 그러셨어요 누가 조리된지 십수분만에 픽업한 음식 먹고싶어하겠어요. 아니면 라이더 수를 늘리시던가요.,"맛, 배달",기타,부정,97.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"너무좋아요 주소는 안산시 단원구 저쩌구 오후 서울 강남구 역삼동 있다 오후 서울 지하철 안에서 우리 모두가 함께 하는 것은 아니지만 그래도 8번지 1층 115호 것이 좋다 있다 오후 서울 지하철 역 개업 있다 오후 에 입금하고 연락드릴께요 택배는 착불로보내주세요 ㅎ 좋은 하루 되세요 ㅋ 근데 왜 그렇게 되면 다시 한번 확인 부탁드립니다 오후 서울 종로구 평창 동계올림픽 유치를 위해 필요한 것은 아니지만 그래도 나는 가수다 나머지 13,572,000원은 제가 직접 만든 것이다",일반,기타,애매,99.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
첫주문 쿠폰 사용하지도 않았는데 이미 사용했다고 단호박 주는데 어이가 없네요. 결국 쿠폰 못쓰고 첫주문 했는데 배달원이 다른집에 갖다주질않나ㅋ 그래서 재주문하느라 시간버리고 감정상하고ㅡ 상담원은 친절했으나 쿠팡이츠 시스템이 별로네요 한번 주문하고 삭제합니다 참고하시길.,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
직접 가지않고 집에서 너무 편하게 먹을 수있어서 좋아요 네이버에서 배달의 민족을 통한 주문은 리뷰를 남길 수 없는지 궁금해요~,배달,기타,긍정,99.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배가고파서 치타주문이라는걸로주문하면 다 식은 음식 가져다줍니다. 몇번먹고 정내미 떨어져서 삭재합니다. 배민이나 깔로가겠습니다,맛,기타,부정,99.1%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
요기요 어플 너무좋아요 같은업종 타사보다 이벤트도많코 행사도 많아서 너무 좋습니다 앞으로도꾸준하게ㅅ,일반,기타,애매,99.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달 완전 늦어요. 한집배달인데막상배달원 위치보면 한집배달아닙니다 배달시간자꾸늘어나고 음식조리는 이미 30분이상지났는데 그제서야배달. 식은음식먹으라는건가요,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
포장 오더지도 왜 없앤겁니까? 완전 불편하네. 무슨 업데이트를 이따구로하나. 업데이트한 사람 뇌 있는건가? 사용해보긴 한건가? 목록이 정말 편하다고 생각한건가? ? 원래대로 돌려놨으면 좋겠네,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
주문 후 조리 및 배달 과정까지 상세한 정보제공이 재미있고 편리했습니다,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
항상 편하게 배달되서 잘 시켜먹고 있어요. 가끔 연락없이 주문취소 당할때를 빼곤 만족합니다.,배달,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
가격은 저렴한 편이지만 주문한 음식이 너무 늦게 나와서 정말 실망했습니다.,"맛, 가격/양",기타,부정,99.4%,가격/양에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
저녁 시간대에 주문이 많아 30분넘게 접속이 안된다고 뜨는 건 뭐하는건지. 본인들이 알아서 고객들 빠지게 해주고있네 배민으로 갈아탐 ㅃ2,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
앱 내 서비스가 너무 많아졌는데 UI가 갈수록 거지같음. 좌우 탭 이동 민감도 낮춰달라는 리뷰들에 답변다는 담당자가 못알아듣는거 보니 잘하는 사람 다 나갔나봄. 그리고 기사 배차도 안되면 배민클럽같은 거지같은 서비스 만들지 마세요. 돈내고 쓰는 한집배달인데 기사 배차를 2시간동안 안하는게 말이됩니까? 근래들어 사용한 앱 중 제일 최악임. 경쟁사 앱 이용하는게 낫겠음.,"맛, 배달",기타,부정,99.4%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
앱이 안좋네요 새 폰인데 앱에서 배송하기전 동의도 안눌러짐,일반,기타,부정,99.1%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
처음엔 빨리 와서 좋다 싶었는데 점점 배달이 느려지는 느낌. 특히 요즘 같은 날씨에 도보 배달 배정되면 음식 따듯하게 먹기는 포기해야 함. 도보 배달은 범위를 좀 더 줄이던지 해야겠음. 식당으로 걸어가고 우리집 걸어오는거 보는데 속이 터지겠음.,"맛, 배달",기타,부정,97.8%,배달에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
바로 옆동네 오는것도 오기 싫다고 배달 거절 당하는데요 이 경우 주문 취소가 되기 때문에 후에 다른 사용자들에게 알릴 방법이 없습니다 주문취소 될 경우 따로 정보 입력할 방도를 생각하든 가게 별 배달 범위를 더 상세히 하여 물갈이 하든 조취가 필요합니다 다른 배달 앱에 비하여 쓰기는 편했습니다,배달,기타,긍정,58.4%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달의 × 보다 간편하고 쓰기가 편하네요,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
계정을 잃어버려서 새 계정을 만들어서 주문하려고 카드 등록하려하니 이미 등록되었있다고 뜨네요 아이디 찾기를 해도 안나오고 뭘 우려해서 카드가 한 계정에만 등록되게 했는지 모르겠어요.,일반,기타,애매,97.0%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문한지 2시간 넘었는데 가게에서는 배달기사가 안온다고 쿠팡이츠에 문의해보라그러고 쿠팡이츠 고객센터는 30분동안 전화를 안받고 취소도 안되고 뭐 어쩌라는거에요?,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
쿠폰이 많지 않지만 월정액을 들어야만 할인이 많이 되는게 좀 아쉽네요ㅠ 그래도 배민보다 쿠폰 2장이라도 주니 그냥 써요ㅋ,일반,기타,애매,99.2%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
정말 맛있게 자~알 먹었습니다! 찌개가 얼큰하면서 개운한게 진짜 속이 확 풀렸습니다~ 어제 쪼금 과음을 했지만요 ㅋ 또 주문할께염~,맛,기타,긍정,99.7%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
음식이 대부분 비싼편에 너무 볼품멊음 맛도 특히나 bhc 순살치킨은 시키지마요 맛없음 치킨너겟 보내줌 ㅡ선부점 특히.그리고 배달말고 현장가서 드세요 그래야 양심있게 조리함,"맛, 배달, 가격/양",패스트푸드,긍정,67.1%,"배달, 가격/양에서 만족도가 높고 맛에서 아쉬움이 보여 종합적으로 긍정 분석되었습니다.",
최신업데이트후 이벤트 공지사항 누르면 앱이나가지는 오류가종 발생해요 조치부탁드립니다,일반,기타,애매,97.0%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
어후 정말짜증난다 이벤트 한두번하는것도아니고 이벤트한번한다고 하루종일 앱접속 인터넷접속 안되는게 말이되냐 진짜로 맨날 요기요 어플써서 매달 식신등급받고잇는데 고민좀해봐야겟다 서비스전산이 전혀 구식이고 매너가없네 일반 유저까지 이벤트한다고 다 피해보고 경우가없다 정말너무화난다,일반,기타,애매,99.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
포장 주문 했는데 도착 임박해서 취소됨. 업체 연락 안받고 배민 상담사는 업체 휴무처리 반영 안된거라고 다음부턴 업체 주문 승낙되면 출발하라는데. 주문하자마자 출발한 제잘못이라고 하는것처럼 들리네요. 보통 오픈되면 당연히 운영할꺼라 생각한게 제가 잘못인건가 싶네요.ㅡ 앞으론 제가 조심할께요.,배달,기타,애매,99.3%,문맥 분석 결과 최종적으로 애매 판정을 내렸습니다.,
이 거지같은앱은 오배송에 무한 배달지연에 아주 개판이다. 면 음식을 음식조리완료후 40분이지난걸 30분걸려서 배달해주면 쳐먹으란거냐 말란거냐 다른 배달앱 발끝도못따라감 걍 사업접어라,"맛, 배달",기타,부정,99.5%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
타사앱보다는 높은 할인을 해줘서 좋아요. 그래도 사용하는거에 메리트를 크게 느끼지는 않습니다. 문제는 할인 행사를 할 때 해당 매장이 요기요를 닫아버린다는 겁니다. 주문이 밀려서 닫는거면 이해하지만 아예 그 날짜에 요기요 주문을 닫아요. 혜택 보기가 쉽지 않습니다.,일반,기타,애매,99.1%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
치킨쿠폰준다해서 시켰는데 돈은 빠져나가고 오류뜨고 주문은 안되고 고객센터는 전화도 안받네요.; 다른데서 시켜야 되는지 돈이라도 첨부터 안가져갔으면 딴데서 먹을텐데 복구는 되는건지;,일반,패스트푸드,부정,99.5%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
첫결제시 쿠폰있대서 설치하고 가입했는데 소비자 우롱하는 이벤트였네요. 삭제합니다,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
기존 사용하던 아이디로 로그인 하려했더니 휴먼계정. 그래서 방법대로 카카오톡 상담톡으로 활성화 시키려니까 카톡계정에 있는 번호로는 계정이 없다고 함. 다른 이메일로 다시 로그인하려니 또 똑같이 휴면계정 풀라고 뜸. 요기요 대표번호(고객센터)로 문의하려니까 관련 메뉴 단축버튼이 없음. 상담원에게 바로 연결 방법도 없음. 즉! 계정을 또 만들거나 or 혜택 받지 말고 돈 낼거 내고 주문하라는거. ㅡ.ㅡ 아파서 결국엔 비계정 주문으로 죽을 시켰지만 다시는 사용하고싶지 않는 app 이라는거. 요기요 깔려는분들은 참고하세요,일반,기타,부정,99.3%,가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
잘 쓰고 있었는데 이번에 배민 클럽 생겼길래 결제하고 주문했는데 배달비 할인이 안됐길래 보니까 가게 배달이 있고 배민 배달이 있는데 가게 배달로 시켜서 할인을 못 받는다네요? 그래서 고객센터에 연락해봤더니 이미 가게 배달로 시켜서 주문 취소도 안된다네요 이걸 미리 고지를 해줘야지 가게 배달 배민 배달 나눠져 있는걸 오늘 처음 알았습니다 진짜 어이가 없네요,배달,기타,부정,99.3%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
한그릇 주문이 안보이는건 저만 그런건가요?,일반,기타,애매,92.8%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주물할 수 있는 식당들이 늘어가서 좋구요. 그런데 배달비가 4~6천원인 곳은 솔직히 이용하기가 부담스럽더라구요.,배달,기타,긍정,99.5%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
간편하고 주문부터 배달 위치까지 모두 확인이 가능한 부분이 정말 좋아요~^,"맛, 배달",기타,긍정,99.8%,"맛, 배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
주문을 앱결제로 했으나 주문접수도 되지 않은채 조회도 안되는 상황에서 결제가 됐겠거니 2시간 기다리다가 서버가 한산해진 후 다시 조회하니 돈만 빠져나가고 접수가 안됐네요. 상담원분들은 전화문의가 많아 연락도 안되고 앱에서는 1대1문의도 안되고 제 돈만 이틀째 환불받지 못한 상황입니다.,"맛, 배달",기타,부정,99.5%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
비마트를 애용하는 사용자 입니다. 다름이아니라 혹시 아이스팩을 수거하여 다시 활용하는 방안은 어려울까 해서 이렇게 리뷰를 남깁니다. 오시는 라이더 분께 아이스팩을 담아드리면 수거하면 어떨까 하는 생각이 있습니다.,일반,기타,긍정,96.2%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
직원분들은 친절하셨는데 식기류가 너무 지저분해서 재방문 의사 절대 없어요.,일반,기타,애매,99.4%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
먹고싶은 메뉴를 금장찾아 앱으로 주문하니 참편리하고 좋네요,일반,기타,애매,99.7%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
내가 찜한 가게 오픈하면 알람주는 알람기능좀 만듷어주세요,일반,기타,애매,92.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
시간과배달시간이 정확하게 보여줘서 좋았구요 최우선은 음식이 맛있어요,"맛, 배달",기타,부정,99.8%,맛에서 만족도가 높고 배달에서 아쉬움이 보여 종합적으로 애매 분석되었습니다.,
할인이 매번 되고 맛있는 음식점을 쉽게 찾을 수 있어 이용이 편리한 앱입니다,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
맛은 최고예요! 그렇지만 이물질이 씹혔어요 너무 실망했어요,맛,기타,부정,99.5%,맛에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
결제도 간편하고 요청사항도 쓸수 있어서 좋았어요,맛,기타,긍정,99.8%,맛에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
요청사항저장되서 불편해요 -답변감사합니다 그런데 그걸누가 모르나요? 왜 굳이 불편하게 쓴걸 다시 지우게끔 만드셨는지요? 많은사람들이 전에업장에 남길걸 다른업장에 모르고 보내서 서로 당황하는 경우가 빈번한데 그런건 잘 모르시죠?,일반,기타,애매,80.1%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
잘 사용 하고 있습니다 ^ 근데 주문하고나서 기다리는데 카톡으로 재고소진 으로 취소를 알려주는건. 좀 .카톡을 바로 확인못해서 죽치고 계속기다린게 벌써 몇번째인지 ㅠ,일반,기타,애매,99.3%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
배달 40분 지연됐는데 고객센터 전화도 안받음 진짜 .최악.,배달,기타,부정,99.5%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
주문취소하기 좀 만들어주세요 주문 취소할려면 전화로 해야한다는데 앱에 가게 번호가 없어서 네이버로 검색해 연락했는데 그 사이 이미 메뉴 들어갔다고 취소 안된다고 하네요ㅋ 장난하세요?,일반,기타,애매,99.2%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
제발 진짜 ㅈㅂ 이것좀 개션 시켜주셨음 좋겠네요 그냥 시골에선 배달을 시켜먹고 싶어도 배달 가능한 지역이 아니니 시키지를 못하네요 낯가림이 있어서 전화로 주문을 못해서 쿠팡이츠 이용 하는건데 이것좀 개션 시켜주세요 ㅈㅂ,배달,기타,부정,97.0%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
갑자기 리뷰에서 사진 첨부가 안되는데 왜 그런거예요? 사용자가 허용한 사진만 엑세스 할 수 있고 사진 앨범은 없다고 나와요,일반,기타,애매,73.2%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
주문누락 시켜놓고 보상도 없고 환불은 늦고 쓰레기 회사. 솔직히 배달음식 가격올려놓는 양아치기업은 맞지.최소한 서비스라도 좋아야 이미지가 세탁뒈지 않을까요?,"맛, 배달, 가격/양",기타,부정,99.4%,"맛에서 만족도가 높고 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
길 안내 추가 정보 출력 좀 개선하세요. 배달용 영수증 출력을 어떻게 하길래 배달주소가 아니라 길찾기 용으로 설명한 지점에 자꾸 놓고 갑니까? 시스템 교육도 안돼있다는 이야기 잖아요. 한두번도 아니고 참.,배달,기타,부정,99.2%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
배달기사 배정지연으로 인해 11시 21분에 주문한 게 12시16분에 도착했습니다. 배달기사 배정지연으로 인해 늦게 도착했으면 보상을 해야죠? 해당사유로는 보상이 어렵다구요? 전 주문한지 거의 한시간만에 받았는데요? 사과만하면 끝입니까? 배달기사가 없으면 인력충원을하세요 매번 사과만 하지마시고. 더이상 배달의민족은 쓰지 못하겠으니 쿠팡이츠로 갑니다. 매번 이렇게 팔고 고객 뺏기세요,"맛, 배달",기타,부정,99.4%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"예상 시간보다 더 늘 것 같으면 고지를 해주던가, 쿠폰을 주던가 해야하는 거 아닌가요? 은근슬쩍 5분, 10분 점점 늘려놓는데, 이거 다 한집 배달이라고 해놓고 사실 배달 가다가 새로운 배달 생기면 그거부터 배달해서 무료 배달인 사람들은 배송 시간이 계속 늘어나는 그 우선순위 배달 때문인 거 다 압니다. 쿠팡 이츠 정말 잘 쓰고 있는데 이런 막무가내식 운영 때문에 쿠팡이라는 곳 자체에 점점 정이 떨어지네요.","맛, 배달",기타,부정,99.3%,"맛, 배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
첫주문 2만원 할인이라는데 뭔짓을 해도 1만원쿠폰밖에 적용이 안되네요 쿠팡이츠는 확실히 2만원 할인 해주던데 아쉽습니다. 신규고객 이벤트부터 통수치는상황에 앞으로의 운영도 걱정되어 쓰진않을거같아요,일반,기타,애매,98.5%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
종종 아이폰 11 기종 노치 영역에 검색창이 가려져서 검색 할 수가 없다고 합니다,일반,기타,애매,93.6%,문맥 분석 결과 최종적으로 정보 없음 판정을 내렸습니다.,
정확하고빠른배송 ㄱㅅ,일반,기타,긍정,99.8%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
배달의 민족 어플 너무 잘 사용하고있어요! 그런데 리뷰를 볼때 불편한 점이 메뉴별 리뷰를 볼 수 없다는거에요. 그 메뉴의 리뷰를 보고싶어 리뷰를 한참 내리며 봐야합니다. 매우 불편한데 개선 안될까요?,배달,기타,긍정,96.7%,배달에서 만족도가 높고 종합적으로 긍정 분석되었습니다.,
익스프레스 시스템 제대로 이용도 못 하게 할거면 광고를 하지 마시지 배달기사가 수락 안 하면 가게도 주문 안 들어오고 취소돼버려서 고객이 오해하는게 대다순데 이게 뭐죠?,배달,기타,부정,99.4%,배달에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.,
여기는 음식 종류가 다양하고 여러 가게가 있어서 고르고 주문하기에 좋고 광고도 없어서 편한데.배달이 좀 별로입니다.매번 안좋은건 아니고 가끔 배달하는 사람이 이상해서 별로입니다. 그거 빼면 정말 좋음,"맛, 배달, 가격/양",기타,부정,99.7%,"맛, 배달, 가격/양에서 아쉬움이 보여 종합적으로 부정 분석되었습니다.",
"오직 한국에서 이용할 수 있는 신박한 어플 입니다. 외국에 살다 보면 아무래도 어플을 알게 되는데, 그 어플들은 다양하지 않은 결제 시스템을 갖고 있고 다양한 옵션들을 제공하기가 힘든 반면 신속하고 정확한 배달을 쉽게 주문할 수 있는 배달의 민족. 한국의 또다른 자랑이네요❤","배달, 가격/양",기타,긍정,99.7%,"배달, 가격/양에서 만족도가 높고 종합적으로 긍정 분석되었습니다.",
